iter	Passed	Remaining
823	1134	242
824	1136	241
825	1137	239
826	1139	238
827	1140	236
828	1142	235
829	1143	234
830	1145	232
831	1148	231
832	1150	230
833	1152	229
834	1153	227
835	1154	226
836	1155	225
837	1156	223
838	1157	222
839	1159	220
840	1164	220
841	1165	218
842	1166	217
843	1171	216
844	1172	215
845	1173	213
846	1174	212
847	1175	210
848	1176	209
849	1177	207
850	1178	206
851	1179	204
852	1180	203
853	1180	201
854	1181	200
855	1182	198
856	1183	197
857	1184	196
858	1185	194
859	1189	193
860	1190	192
861	1191	190
862	1192	189
863	1192	187
864	1193	186
865	1194	184
866	1195	183
867	1196	181
868	1197	180
869	1198	179
870	1198	177
871	1199	176
872	1200	174
873	1201	173
874	1202	171
875	1206	170
876	1207	169
877	1208	167
878	1209	166
879	1210	165
880	1211	163
881	1212	162
882	1212	160
883	1213	159
884	1214	157
885	1215	156
886	1216	155
887	1217	153
888	1219	152
889	1220	150
890	1221	149
891	1226	148
892	1227	147
893	1228	145
894	1229	144
895	1230	142
896	1231	141
897	1232	140
898	1233	138
899	1234	137
900	1235	135
901	1237	134
902	1238	132
903	1238	131
904	1242	130
905	1244	129
906	1245	127
907	1247	126
908	1248	124
909	1249	123
910	1250	122
911	1251	120
912	1252	119
913	1252	117
914	1253	116
915	1254	115
916	1255	113
917	1256	112
918	1257	110
919	1260	109
920	1262	108
921	1263	106
922	1264	105
923	1265	104
924	1266	102
925	1267	101
926	1268	99
927	1269	98
928	1270	97
929	1271	95
930	1272	94
931	1273	92
932	1274	91
933	1275	90
934	1276	88
935	1277	87
936	1278	85
937	1279	84
938	1280	83
939	1281	81
940	1282	80
941	1283	78
942	1283	77
943	1285	76
944	1286	74
945	1288	73
946	1289	72
947	1290	70
948	1291	69
949	1292	68
950	1296	66
951	1297	65
952	1298	64
953	1299	62
954	1300	61
955	1301	59
956	1301	58
957	1302	57
958	1303	55
959	1304	54
960	1305	52
961	1306	51
962	1307	50
963	1307	48
964	1308	47
965	1309	46
966	1310	44
967	1314	43
968	1315	42
969	1316	40
970	1317	39
971	1318	37
972	1318	36
973	1319	35
974	1320	33
975	1321	32
976	1322	31
977	1323	29
978	1324	28
979	1325	27
980	1326	25
981	1327	24
982	1328	22
983	1329	21
984	1332	20
985	1333	18
986	1334	17
987	1335	16
988	1336	14
989	1337	13
990	1338	12
991	1339	10
992	1340	9
993	1340	8
994	1341	6
995	1342	5
996	1343	4
997	1344	2
998	1345	1
999	1346	0
